F1,F2
757.3254541411816,1324.8922152256998
704.2547382196578,1849.6151168097986
727.5647795578014,1884.5884660203203
834.9252767900762,1901.1370846316095
809.7293831132142,1709.127272661667
1105.9180606394948,1844.9727513305465
611.2760953600498,1881.4530228596382
663.4992363288568,1707.895909259958
647.2652544754867,1947.7233599671883
820.1134685261918,1748.5134358879116
636.7237050511976,1753.6222298850612
689.9869809808818,1740.3544424588304
877.6006793066002,1838.3266182185425
688.0303413147356,1692.189425146179
726.2499500469248,1702.384740887412
575.7328581634602,1593.577453233624
741.9666395302711,1671.4312391749424
776.299785385832,1776.7158799407937
704.6440454125911,1626.4438274694053
733.719406061868,1717.3706447512911
468.23734532210347,1613.8642409915178
550.1232798454719,1550.195780872415
661.3216431289314,1381.9692068359566
842.2231361807424,2011.402392020076
703.5643674022579,1861.3245332922793
886.7047798932028,2058.9241033725634
886.1588220164293,1959.1378981305338
652.9673289050695,1565.908092560169
743.8464591898737,1808.0921423623145
636.608890438729,1503.7741056069267
1146.1083709812772,1783.602893575301
649.2553264215621,1630.3353862833392
768.2223589107634,1650.826074706682
1601.9027621418115,2593.8245383318235
578.7212454882375,1557.8458058952183
650.2319867706042,1469.069508885288
714.6586682759942,1486.1405302623675
719.6830440860765,1730.781843811099
508.3450522689334,1599.2684262772925
